,종목명,현재가
0,삼성전자,"56,800"
1,SK하이닉스,"180,800"
2,LG에너지솔루션,"343,000"
3,삼성바이오로직스,"1,023,000"
4,현대차,"183,900"
5,삼성전자우,"47,000"
6,한화에어로스페이스,"784,000"
7,셀트리온,"160,800"
8,기아,"85,400"
9,HD현대중공업,"347,000"
10,KB금융,"76,900"
11,NAVER,"185,700"
12,한화오션,"80,000"
13,신한지주,"46,750"
14,현대모비스,"244,000"
15,메리츠금융지주,"114,200"
16,POSCO홀딩스,"256,000"
17,삼성물산,"114,900"
18,크래프톤,"370,000"
19,카카오,"39,200"
20,HMM,"19,190"
21,삼성화재,"348,000"
22,하나금융지주,"56,400"
23,HD한국조선해양,"225,000"
24,삼성생명,"78,800"
25,LG화학,"221,000"
26,한국전력,"23,900"
27,두산에너빌리티,"23,450"
28,SK이노베이션,"97,300"
29,고려아연,"686,000"
30,KT&G,"107,000"
31,삼성중공업,"14,565"
32,삼성SDI,"177,600"
33,SK텔레콤,"56,100"
34,우리금융지주,"16,140"
35,KT,"47,200"
36,현대로템,"106,200"
37,LG전자,"70,800"
38,기업은행,"14,270"
39,SK스퀘어,"84,300"
40,HD현대일렉트릭,"311,500"
41,포스코퓨처엠,"128,300"
42,카카오뱅크,"20,800"
43,LG,"62,800"
44,포스코인터내셔널,"54,000"
45,하이브,"221,500"
46,유한양행,"114,100"
47,삼성에스디에스,"114,900"
48,삼성전기,"118,800"
49,SK,"121,200"
